id,days,mature,views,partner,new_id
73045350,1459,False,9528,False,2299 //
61573865,1629,True,3615,False,153
171688860,411,True,46546,False,397
117338954,953,True,5863,False,5623 //
135804217,741,True,5594,False,5875
50273956,1820,False,4594,False,3346
40189534,2070,False,18460,False,6930
126853728,846,True,204,False,6367 //
118869338,936,True,1064,False,1434
115599547,973,False,313084,False,4470
94973589,1198,False,791,False,5122
113241013,993,True,364,False,4790
119663818,931,True,3994,False,4919
81085785,1354,False,3956,False,575
55592461,1720,False,2833,False,639
64700169,1573,True,16054,False,7012
36174401,2219,False,3950,False,6445
38079222,2142,True,89458,True,1170
13233251,3039,True,115054,False,326
59321650,1664,False,657,False,4956
63652371,1591,True,29158,False,2639
177106387,368,True,25085,False,5028
106526921,1069,True,8917,False,6277
41418023,2035,True,3011,False,6784
154501248,535,True,8482,False,49
73421195,1450,False,95722,False,4526
55682420,1718,False,3930,False,4108
27953914,2441,False,9733,False,1171
