id,days,mature,views,partner,new_id
181993475,324,TRUE,1678,FALSE,0
62291974,1618,FALSE,622427,TRUE,1
24772619,2587,TRUE,1465,FALSE,2
69238797,1517,FALSE,13141,FALSE,3
45334542,1889,TRUE,448,FALSE,4
44483447,1923,FALSE,1665,FALSE,5
182009874,329,FALSE,1627,FALSE,6
25362451,2560,TRUE,13216,FALSE,7
18628629,2850,TRUE,4071,FALSE,8
112836630,999,FALSE,2234,FALSE,9
63160344,1590,FALSE,754,FALSE,10
129417241,821,TRUE,12044,FALSE,11
23101471,2666,FALSE,115499,FALSE,12
101269536,1136,FALSE,21877,FALSE,13
86835235,1292,TRUE,35760,FALSE,14
8962054,3260,FALSE,65161,FALSE,15
55672876,1718,TRUE,2409,FALSE,16
96419885,1177,TRUE,1594,FALSE,17
28311598,2302,FALSE,1003,FALSE,18
127238192,845,FALSE,2066,FALSE,19
23330870,2646,FALSE,221018,FALSE,20
41779259,2012,TRUE,4304,FALSE,21
19202109,2840,TRUE,6924,FALSE,22
51183678,1801,TRUE,68910,FALSE,23
60047423,1654,FALSE,849929,TRUE,24
32735299,2259,FALSE,1277,FALSE,25
80232517,1362,TRUE,348066,TRUE,26
100646986,1142,FALSE,11398,FALSE,27
72908878,1459,TRUE,6990,FALSE,28
75399251,1405,TRUE,64,FALSE,29
63520852,1594,TRUE,56580,FALSE,30
28606553,2410,TRUE,6568,FALSE,31
45006939,1940,TRUE,62306,FALSE,32
74549946,1416,TRUE,10299,FALSE,33
23461984,2646,TRUE,55980,FALSE,34
106938465,1064,TRUE,3761,FALSE,35
42434667,2000,FALSE,706,FALSE,36
129171564,824,FALSE,1794,FALSE,37
67338349,1539,FALSE,2279,FALSE,38
45416559,1925,FALSE,8792,FALSE,39
24379505,2603,FALSE,248,FALSE,40
